k,zx,zy,valid
0,-0.704181,-3.323910,1
1,0.045589,-3.762746,1
2,-1.280776,4.568000,1
3,2.920315,2.417169,1
4,10.432743,7.166594,1
5,-2.378618,0.734068,1
6,-1.801505,2.134555,1
7,0.154657,-3.105406,1
8,0.000000,0.000000,0
9,0.000000,0.000000,0
10,-4.637503,-54.544557,1
11,2.515389,1.201728,1
12,-17.749198,75.963732,1
13,-1.569541,-1.333795,1
14,31.585260,-57.302195,1
15,1.920017,1.509290,1
16,5.980472,-1.135648,1
17,39.242010,2.779407,1
18,-2.132337,-1.984051,1
19,-13.216865,-74.313984,1
20,0.026285,1.352593,1
21,0.202872,3.506023,1
22,2.558466,2.073564,1
23,2.607214,0.476048,1
24,1.336394,1.125016,1
25,0.000000,0.000000,0
26,-0.667921,-0.875601,1
27,0.637913,1.108742,1
28,-0.671732,2.481765,1
29,0.224390,-0.385929,1
30,0.000000,0.000000,0
31,49.252309,-25.774037,1
32,9.405703,37.526395,1
33,-0.827534,0.283585,1
34,-2.434098,0.324930,1
35,-1.318130,0.917881,1
36,3.201253,2.222944,1
37,-0.411512,0.112268,1
38,-1.190311,1.047171,1
39,3.696001,1.962165,1
40,-26.423959,47.405845,1
41,3.423393,-1.409484,1
42,5.737768,-0.384048,1
43,-66.736825,21.528397,1
44,0.861707,4.584349,1
45,48.954724,9.251718,1
46,0.000000,0.000000,0
47,3.662988,-4.218878,1
48,-70.968241,-61.485329,1
49,2.490234,-3.315449,1
50,4.172070,1.441383,1
51,-4.399072,1.382973,1
52,0.502215,0.226092,1
53,0.000000,0.000000,0
54,-0.820472,-1.709578,1
55,1.965141,0.044070,1
56,2.298893,-0.703963,1
57,-57.499251,-78.234533,1
58,-1.249356,4.361982,1
59,-55.614361,53.007778,1
60,-0.434092,1.365627,1
61,1.844519,3.004881,1
62,0.000000,0.000000,0
63,0.000000,0.000000,0
64,39.339353,-73.854134,1
65,-0.405676,-4.540444,1
66,0.000000,0.000000,0
67,-15.236828,11.970992,1
68,3.174024,2.260846,1
69,-25.376640,-39.791433,1
70,6.394554,4.088133,1
71,0.875882,-0.374128,1
72,1.868995,-1.826741,1
73,3.099191,1.923087,1
74,0.237509,1.642076,1
75,0.392687,-0.507333,1
76,-40.978608,30.645975,1
77,2.019552,4.243438,1
78,0.000000,0.000000,0
79,0.807823,1.062976,1
80,5.092465,-2.745336,1
81,0.000000,0.000000,0
82,0.000000,0.000000,0
83,0.705083,1.817527,1
84,1.289392,-2.495800,1
85,-29.844273,74.539770,1
86,2.782098,-0.273058,1
87,-0.858379,2.123446,1
88,0.909566,0.445729,1
89,0.000000,0.000000,0
90,-67.858962,-8.062961,1
91,2.636150,-0.064006,1
92,-53.095579,-75.720112,1
93,2.976668,2.441925,1
94,0.532474,2.890113,1
95,5.221873,1.435803,1
96,3.378378,-0.206823,1
97,-77.365774,55.822786,1
98,-1.499622,-1.984627,1
99,55.902583,-23.920090,1
100,1.604607,-1.114031,1
101,65.071205,-0.094109,1
102,2.104810,0.620047,1
103,1.921402,2.047998,1
104,3.388915,-0.121717,1
105,1.930030,2.503389,1
106,-0.044791,4.300041,1
107,22.074832,79.579918,1
108,-20.610655,66.680255,1
109,0.472496,1.011339,1
110,0.392614,2.017968,1
111,4.529823,5.979173,1
112,-2.711532,1.420365,1
113,1.851685,1.023344,1
114,72.861759,72.168316,1
115,4.562333,0.845765,1
116,-0.478348,-0.144883,1
117,5.602568,2.873373,1
118,25.275572,34.205421,1
119,-8.659280,-50.426863,1
120,-0.319197,0.008244,1
121,0.116148,1.402075,1
122,3.461007,4.081993,1
123,2.878370,-0.560741,1
124,1.307110,-0.404369,1
125,0.551086,0.249160,1
126,62.275950,-9.257731,1
127,2.509339,0.865299,1
128,0.442811,2.949989,1
129,79.080702,13.042973,1
130,1.510385,0.348654,1
131,1.780182,-0.024408,1
132,-68.821310,78.131948,1
133,2.035236,2.333530,1
134,12.398591,-40.729327,1
135,-4.821573,24.680141,1
136,-4.036111,-14.281162,1
137,6.740755,-0.555097,1
138,5.474778,2.546456,1
139,5.774663,3.002711,1
140,1.553829,-0.743893,1
141,0.000000,0.000000,0
142,-52.398981,35.638945,1
143,0.769883,2.665086,1
144,3.951386,-2.260592,1
145,3.274821,1.445323,1
146,5.895408,2.649464,1
147,0.000000,0.000000,0
148,3.321802,0.418998,1
149,5.166742,0.295866,1
150,-0.395275,3.622342,1
151,0.424963,-1.703111,1
