k,x,y,vx,vy
0,-28.892083,-42.350647,-0.231104,-0.338758
1,-15.900644,-22.256623,0.625279,0.985796
2,-15.888139,-22.236907,0.625279,0.985796
3,-10.834827,-16.225770,2.025151,2.649662
4,-7.984557,-12.509127,3.225595,4.214918
5,-7.920045,-12.424829,3.225595,4.214918
6,-6.196062,-10.384634,4.538871,5.762780
7,-5.079025,-8.842472,5.558703,7.180750
8,-4.677957,-7.375122,5.910523,8.787252
9,-5.748944,-15.158822,4.197525,-2.678046
10,-5.453291,-13.028671,4.549764,0.955292
11,-5.362295,-13.009565,4.549764,0.955292
12,-3.906613,-11.520051,7.324494,3.944979
13,-3.307233,-10.328283,8.309405,6.365156
14,-2.889167,-9.220306,8.887625,8.616428
15,6.146234,-1.606426,30.097477,26.435401
16,5.856212,-0.900387,27.893089,26.873651
17,6.251592,-0.069348,27.482459,27.615561
18,6.020172,0.426764,25.479835,27.471469
19,6.069519,1.148679,24.290676,27.917124
20,6.161208,2.335088,23.270321,29.543135
21,-1.146743,7.110516,3.200623,40.347086
22,-0.892853,7.221620,3.687607,38.562444
23,4.697227,8.665406,17.696462,40.270368
24,4.481304,8.747316,16.267305,38.455878
25,4.304380,8.163326,15.025964,35.111723
26,4.377440,7.769870,14.472934,32.447732
27,4.296920,7.403209,13.589205,30.021839
28,4.150356,7.151287,12.608567,28.023846
29,4.402528,7.711764,12.608567,28.023846
30,4.188463,7.587380,11.560972,26.485020
31,3.835430,7.491994,10.277584,25.111932
32,3.671802,7.194768,9.484703,23.394937
33,3.637672,6.896400,9.014650,21.785702
34,3.664522,6.785626,8.699494,20.663269
35,3.558522,6.390601,8.136964,19.039327
36,8.963352,5.622105,18.441355,16.780178
37,8.476631,5.444773,16.795558,15.793459
38,2.086823,8.324851,4.131032,20.621863
39,1.239678,11.812875,2.416866,26.292173
40,1.288015,12.338718,2.416866,26.292173
41,-5.927413,10.119037,-10.414655,21.442173
42,-5.674702,9.639252,-9.617532,19.871058
43,-5.240676,9.181327,-8.556915,18.422737
44,-4.933208,8.796157,-7.762968,17.172571
45,-4.658795,8.526652,-7.064387,16.175996
46,-4.433679,7.781124,-6.480301,14.471824
47,-4.148863,7.349745,-5.832327,13.344785
