k,yx,yy,Sx,Sy,NIS,q,r
0,-3.079449,2.566445,29.004000,29.004000,0.554049,1.000000,4.000000
1,5.590330,-2.793829,7.453455,7.453455,5.240157,1.000000,4.000000
2,-1.854802,-2.335220,5.862227,5.862227,1.517093,1.000000,4.000000
3,1.241557,-1.304441,5.283440,5.283440,0.613810,1.000000,4.000000
4,-1.379369,4.108905,4.988342,4.988342,3.765933,1.000000,4.000000
5,1.266308,0.407104,4.813035,4.813035,0.367599,1.000000,4.000000
6,12.603128,-25.475126,4.699955,4.699955,171.878430,1.000000,4.000000
7,0.939094,3.757191,4.623583,4.623583,3.243887,1.000000,4.000000
8,-0.650717,7.201384,4.570779,4.570779,11.438609,1.000000,4.000000
9,0.970568,-0.028598,4.534005,4.534005,0.207944,1.000000,4.000000
10,-2.566946,2.719286,4.508548,4.508548,3.101603,1.000000,4.000000
11,67.951302,-47.155261,4.491253,4.491253,1523.182684,1.000000,4.000000
12,-7.824874,3.653093,4.479879,4.479879,16.646374,1.000000,4.000000
13,0.000000,0.000000,4.472769,4.472769,0.000000,1.000000,4.000000
14,7.571426,-8.111715,4.523792,4.523792,27.217524,1.000000,4.000000
15,0.000000,0.000000,4.514434,4.514434,0.000000,1.000000,4.000000
16,-9.505344,7.652558,4.572125,4.572125,32.569799,1.000000,4.000000
17,-6.271079,9.545296,4.556804,4.556804,28.625129,1.000000,4.000000
18,-5.259929,4.147682,4.543600,4.543600,9.875455,1.000000,4.000000
19,0.000000,0.000000,4.531929,4.531929,0.000000,1.000000,4.000000
20,0.000000,0.000000,4.590542,4.590542,0.000000,1.000000,4.000000
21,0.000000,0.000000,4.654401,4.654401,0.000000,1.000000,4.000000
22,57.318458,84.348828,4.723507,4.723507,2201.781643,1.000000,4.000000
23,-16.941324,-5.999059,4.675780,4.675780,69.078777,1.000000,4.000000
24,-15.150604,-6.562325,4.636221,4.636221,58.798948,1.000000,4.000000
25,-15.739204,-4.776058,4.602807,4.602807,58.775720,1.000000,4.000000
26,31.639773,17.820632,4.574129,4.574129,288.284450,1.000000,4.000000
27,-18.799426,-9.297182,4.549172,4.549172,96.689236,1.000000,4.000000
28,-17.505166,-5.784369,4.527192,4.527192,75.077385,1.000000,4.000000
29,-11.303602,-7.337784,4.507628,4.507628,40.290483,1.000000,4.000000
30,8.468699,68.783115,4.490050,4.490050,1069.662049,1.000000,4.000000
31,50.234799,-67.201465,4.474125,4.474125,1573.396529,1.000000,4.000000
32,43.672346,69.117537,4.459590,4.459590,1498.906421,1.000000,4.000000
33,0.000000,0.000000,4.446236,4.446236,0.000000,1.000000,4.000000
34,-25.567900,-16.020902,4.482265,4.482265,203.108674,1.000000,4.000000
35,-22.618948,-13.645699,4.464361,4.464361,156.309473,1.000000,4.000000
36,-25.526036,-14.446738,4.448211,4.448211,193.400632,1.000000,4.000000
37,56.563329,64.131864,4.433540,4.433540,1649.315466,1.000000,4.000000
38,-29.338066,-23.504607,4.420129,4.420129,319.716595,1.000000,4.000000
39,0.000000,0.000000,4.407801,4.407801,0.000000,1.000000,4.000000
40,-24.443314,-17.301890,4.436803,4.436803,202.134507,1.000000,4.000000
41,-21.323730,-18.818129,4.421226,4.421226,182.940998,1.000000,4.000000
42,-16.573502,-72.877143,4.407099,4.407099,1267.445676,1.000000,4.000000
43,-8.048925,-43.206121,4.394211,4.394211,439.567911,1.000000,4.000000
44,-15.014750,22.450452,4.382388,4.382388,166.453899,1.000000,4.000000
45,-16.263053,-12.699183,4.371488,4.371488,97.393862,1.000000,4.000000
46,18.283487,-76.030266,4.361396,4.361396,1402.048302,1.000000,4.000000
47,-17.152365,0.985819,4.352012,4.352012,67.825064,1.000000,4.000000
48,2.222098,-52.072739,4.343254,4.343254,625.454530,1.000000,4.000000
49,-22.369592,3.260917,4.335053,4.335053,117.883724,1.000000,4.000000
50,-16.689983,3.113514,4.327350,4.327350,66.611090,1.000000,4.000000
51,-14.958279,3.743118,4.320093,4.320093,55.036092,1.000000,4.000000
52,-15.836770,-0.398898,4.313238,4.313238,58.184218,1.000000,4.000000
53,0.000000,0.000000,4.306748,4.306748,0.000000,1.000000,4.000000
54,-26.814130,-73.257752,4.323634,4.323634,1407.541984,1.000000,4.000000
55,0.000000,0.000000,4.315617,4.315617,0.000000,1.000000,4.000000
56,-9.244212,5.811694,4.332420,4.332420,27.520703,1.000000,4.000000
57,-9.808618,8.727533,4.322981,4.322981,39.874993,1.000000,4.000000
58,-9.316534,6.272690,4.314242,4.314242,29.239078,1.000000,4.000000
59,-8.189758,5.500988,4.306119,4.306119,22.603415,1.000000,4.000000
60,-10.255778,39.632439,4.298546,4.298546,389.878669,1.000000,4.000000
61,-6.353953,-0.128678,4.291461,4.291461,9.411544,1.000000,4.000000
62,-6.300430,6.653789,4.284815,4.284815,19.596723,1.000000,4.000000
63,-7.562149,2.974054,4.278563,4.278563,15.433009,1.000000,4.000000
64,47.788383,51.743267,4.272668,4.272668,1161.123599,1.000000,4.000000
65,-9.810663,3.620131,4.267096,4.267096,25.627377,1.000000,4.000000
66,-7.437080,1.447348,4.261818,4.261818,13.469598,1.000000,4.000000
67,-48.183728,74.844353,4.256809,4.256809,1861.335217,1.000000,4.000000
68,-6.779413,-2.542831,4.252046,4.252046,12.329693,1.000000,4.000000
69,-3.669437,-2.358323,4.247509,4.247509,4.479438,1.000000,4.000000
70,-4.081729,-6.469762,4.243181,4.243181,13.791146,1.000000,4.000000
71,-7.352563,-1.003312,4.239044,4.239044,12.990386,1.000000,4.000000
