k,yx,yy,Sx,Sy,NIS,q,r
0,0.254877,0.402362,29.004000,29.004000,0.007822,1.000000,4.000000
1,2.719381,-1.322960,7.453455,7.453455,1.226982,1.000000,4.000000
2,0.164165,0.983919,5.862227,5.862227,0.169739,1.000000,4.000000
3,-0.582898,-0.302767,5.283440,5.283440,0.081659,1.000000,4.000000
4,-1.602024,0.662762,4.988342,4.988342,0.602552,1.000000,4.000000
5,0.268743,1.088835,4.813035,4.813035,0.261329,1.000000,4.000000
6,3.402443,0.292473,4.699955,4.699955,2.481334,1.000000,4.000000
7,-1.204580,1.817552,4.623583,4.623583,1.028317,1.000000,4.000000
8,-4.583032,0.370472,4.570779,4.570779,4.625345,1.000000,4.000000
9,2.327214,0.519803,4.534005,4.534005,1.254106,1.000000,4.000000
10,1.798619,0.618412,4.508548,4.508548,0.802357,1.000000,4.000000
11,0.761353,-0.753879,4.491253,4.491253,0.255606,1.000000,4.000000
12,0.991401,2.993410,4.479879,4.479879,2.219564,1.000000,4.000000
13,0.035459,-2.665831,4.472769,4.472769,1.589153,1.000000,4.000000
14,-2.527845,1.098939,4.468656,4.468656,1.700214,1.000000,4.000000
15,0.155596,-6.289577,4.466553,4.466553,8.862089,1.000000,4.000000
16,1.727785,0.410160,4.465694,4.465694,0.706155,1.000000,4.000000
17,-2.663720,-1.053111,4.465482,4.465482,1.837303,1.000000,4.000000
18,0.259246,1.378003,4.465466,4.465466,0.440290,1.000000,4.000000
19,-0.487422,-0.027863,4.465314,4.465314,0.053380,1.000000,4.000000
20,-0.103336,-3.903729,4.464793,4.464793,3.415562,1.000000,4.000000
21,0.659082,4.995081,4.463751,4.463751,5.686970,1.000000,4.000000
22,0.262687,-0.378809,4.462101,4.462101,0.047623,1.000000,4.000000
23,-0.444088,0.037025,4.459808,4.459808,0.044528,1.000000,4.000000
24,4.176106,-2.411329,4.456873,4.456873,5.217641,1.000000,4.000000
25,-0.098656,-2.413336,4.453326,4.453326,1.310015,1.000000,4.000000
26,-4.224499,0.338086,4.449213,4.449213,4.036825,1.000000,4.000000
27,-2.185282,-2.440143,4.444595,4.444595,2.414113,1.000000,4.000000
28,0.315180,0.593397,4.439535,4.439535,0.101690,1.000000,4.000000
29,-1.424537,-0.707375,4.434099,4.434099,0.570507,1.000000,4.000000
30,1.308336,3.164337,4.428351,4.428351,2.647661,1.000000,4.000000
31,-0.078183,2.495100,4.422353,4.422353,1.409122,1.000000,4.000000
32,-1.117212,1.031112,4.416161,4.416161,0.523386,1.000000,4.000000
33,-2.418401,-1.974441,4.409826,4.409826,2.210310,1.000000,4.000000
34,-1.160365,-3.759462,4.403395,4.403395,3.515469,1.000000,4.000000
35,-4.334953,4.539174,4.396907,4.396907,8.959917,1.000000,4.000000
36,1.120811,4.400964,4.390396,4.390396,4.697685,1.000000,4.000000
37,-1.171170,0.480919,4.383895,4.383895,0.365639,1.000000,4.000000
38,-0.307975,-1.970101,4.377426,4.377426,0.908330,1.000000,4.000000
39,-1.068147,-0.021660,4.371013,4.371013,0.261131,1.000000,4.000000
40,0.528311,2.730771,4.364672,4.364672,1.772463,1.000000,4.000000
41,3.421127,3.636090,4.358419,4.358419,5.718876,1.000000,4.000000
42,3.215834,2.149651,4.352265,4.352265,3.437886,1.000000,4.000000
43,2.088568,-3.339669,4.346218,4.346218,3.569886,1.000000,4.000000
44,0.768802,-2.278122,4.340287,4.340287,1.331915,1.000000,4.000000
45,-0.665804,1.814592,4.334477,4.334477,0.861935,1.000000,4.000000
46,-2.833602,-2.155505,4.328792,4.328792,2.928185,1.000000,4.000000
47,1.604512,0.991258,4.323233,4.323233,0.822775,1.000000,4.000000
48,0.428365,-0.045268,4.317803,4.317803,0.042972,1.000000,4.000000
49,1.311850,-5.697980,4.312502,4.312502,7.927632,1.000000,4.000000
50,-1.122201,0.813435,4.307330,4.307330,0.445987,1.000000,4.000000
51,2.327452,-3.642510,4.302286,4.302286,4.343020,1.000000,4.000000
52,3.622392,0.634716,4.297369,4.297369,3.147178,1.000000,4.000000
53,1.598121,1.172465,4.292577,4.292577,0.915223,1.000000,4.000000
54,3.666944,0.393765,4.287908,4.287908,3.172067,1.000000,4.000000
55,6.658873,1.229440,4.283359,4.283359,10.704708,1.000000,4.000000
56,-4.483672,1.316362,4.278929,4.278929,5.103175,1.000000,4.000000
57,2.140059,1.782943,4.274613,4.274613,1.815074,1.000000,4.000000
58,0.147550,0.319527,4.270410,4.270410,0.029006,1.000000,4.000000
59,-2.543915,-2.133217,4.266317,4.266317,2.583521,1.000000,4.000000
60,-4.013941,-1.131701,4.262330,4.262330,4.080507,1.000000,4.000000
61,1.276004,1.062537,4.258448,4.258448,0.647459,1.000000,4.000000
62,-1.845822,2.794959,4.254666,4.254666,2.636836,1.000000,4.000000
63,0.974037,3.157897,4.250982,4.250982,2.569069,1.000000,4.000000
64,0.428583,0.562688,4.247393,4.247393,0.117790,1.000000,4.000000
65,3.137837,0.592154,4.243896,4.243896,2.402666,1.000000,4.000000
66,-1.491373,-3.397612,4.240489,4.240489,3.246786,1.000000,4.000000
67,-1.717228,0.488662,4.237169,4.237169,0.752310,1.000000,4.000000
68,0.194447,2.068365,4.233932,4.233932,1.019370,1.000000,4.000000
69,-5.023636,0.011736,4.230777,4.230777,5.965111,1.000000,4.000000
70,1.369345,-0.329882,4.227701,4.227701,0.469269,1.000000,4.000000
71,1.679489,-0.339576,4.224702,4.224702,0.694959,1.000000,4.000000
72,3.537463,-3.931519,4.221776,4.221776,6.625290,1.000000,4.000000
73,-1.038883,-1.505194,4.218922,4.218922,0.792830,1.000000,4.000000
74,-1.148085,0.264002,4.216138,4.216138,0.329163,1.000000,4.000000
75,-1.647811,-0.538807,4.213421,4.213421,0.713338,1.000000,4.000000
76,1.811108,-0.070525,4.210770,4.210770,0.780162,1.000000,4.000000
77,2.058787,4.508874,4.208182,4.208182,5.838280,1.000000,4.000000
78,-3.400370,0.272054,4.205655,4.205655,2.766877,1.000000,4.000000
79,1.920357,-2.533095,4.203187,4.203187,2.403971,1.000000,4.000000
80,5.028512,4.704511,4.200778,4.200778,11.287994,1.000000,4.000000
81,-2.950884,-1.760405,4.198424,4.198424,2.812184,1.000000,4.000000
82,0.006048,0.392891,4.196124,4.196124,0.036796,1.000000,4.000000
83,0.863717,0.699557,4.193876,4.193876,0.294569,1.000000,4.000000
84,3.243462,2.656744,4.191680,4.191680,4.193625,1.000000,4.000000
85,0.396288,-1.721592,4.189533,4.189533,0.744933,1.000000,4.000000
86,-0.169908,1.675335,4.187434,4.187434,0.677173,1.000000,4.000000
87,1.709715,-1.191674,4.185382,4.185382,1.037710,1.000000,4.000000
88,1.280422,1.733825,4.183374,4.183374,1.110499,1.000000,4.000000
89,-0.302917,2.487111,4.181411,4.181411,1.501282,1.000000,4.000000
90,-0.422586,2.141581,4.179490,4.179490,1.140079,1.000000,4.000000
91,0.735105,1.369789,4.177611,4.177611,0.578489,1.000000,4.000000
92,3.748901,0.024613,4.175772,4.175772,3.365812,1.000000,4.000000
93,1.254069,-1.345635,4.173972,4.173972,0.810600,1.000000,4.000000
94,-1.338519,1.335620,4.172210,4.172210,0.856984,1.000000,4.000000
95,0.016308,0.178510,4.170485,4.170485,0.007705,1.000000,4.000000
96,-5.274409,6.361387,4.168796,4.168796,16.380423,1.000000,4.000000
97,2.155974,-3.147917,4.167142,4.167142,3.493427,1.000000,4.000000
98,1.769826,1.029215,4.165521,4.165521,1.006253,1.000000,4.000000
99,0.786411,-1.832413,4.163934,4.163934,0.954909,1.000000,4.000000
100,0.679452,2.126281,4.162379,4.162379,1.197086,1.000000,4.000000
101,3.484320,-3.969195,4.160856,4.160856,6.704149,1.000000,4.000000
102,-0.528598,-1.846305,4.159363,4.159363,0.886737,1.000000,4.000000
103,1.471896,1.938426,4.157899,4.157899,1.424752,1.000000,4.000000
104,4.806656,-3.051178,4.156465,4.156465,7.798365,1.000000,4.000000
105,-1.300263,0.154232,4.155059,4.155059,0.412623,1.000000,4.000000
106,0.873359,3.504489,4.153680,4.153680,3.140396,1.000000,4.000000
107,-0.242974,0.926926,4.152328,4.152328,0.221136,1.000000,4.000000
108,-0.889185,1.299514,4.151003,4.151003,0.597298,1.000000,4.000000
109,2.521256,-0.617613,4.149703,4.149703,1.623774,1.000000,4.000000
110,-2.389695,0.295518,4.148427,4.148427,1.397631,1.000000,4.000000
111,0.250787,1.081673,4.147176,4.147176,0.297289,1.000000,4.000000
112,-1.413630,4.283101,4.145949,4.145949,4.906791,1.000000,4.000000
113,2.562990,-2.403417,4.144745,4.144745,2.978551,1.000000,4.000000
114,-1.489967,2.316262,4.143563,4.143563,1.830567,1.000000,4.000000
115,1.184099,-0.498558,4.142403,4.142403,0.398476,1.000000,4.000000
116,3.831234,-0.362206,4.141265,4.141265,3.576092,1.000000,4.000000
117,0.722425,0.661182,4.140148,4.140148,0.231648,1.000000,4.000000
118,2.583368,1.308703,4.139052,4.139052,2.026187,1.000000,4.000000
119,1.671500,0.787228,4.137975,4.137975,0.824954,1.000000,4.000000
120,-0.310456,-4.417211,4.136918,4.136918,4.739793,1.000000,4.000000
121,0.753731,3.287784,4.135881,4.135881,2.750957,1.000000,4.000000
122,-1.852052,-2.158778,4.134862,4.134862,1.956636,1.000000,4.000000
123,-3.432657,1.637594,4.133861,4.133861,3.499113,1.000000,4.000000
124,0.415971,-3.186858,4.132879,4.132879,2.499250,1.000000,4.000000
125,0.808253,2.177079,4.131914,4.131914,1.305193,1.000000,4.000000
126,0.994710,-3.132929,4.130966,4.130966,2.615537,1.000000,4.000000
127,0.749329,1.950270,4.130035,4.130035,1.056903,1.000000,4.000000
128,-0.365884,-0.264647,4.129120,4.129120,0.049383,1.000000,4.000000
129,0.068789,-0.104133,4.128222,4.128222,0.003773,1.000000,4.000000
130,-3.123807,-2.349513,4.127339,4.127339,3.701750,1.000000,4.000000
131,0.743837,2.071114,4.126472,4.126472,1.173595,1.000000,4.000000
132,0.397094,0.499583,4.125620,4.125620,0.098717,1.000000,4.000000
133,-4.304883,-1.882347,4.124783,4.124783,5.351857,1.000000,4.000000
134,4.145641,-3.452246,4.123961,4.123961,7.057377,1.000000,4.000000
135,1.812219,3.857688,4.123152,4.123152,4.405828,1.000000,4.000000
136,-4.544715,0.864901,4.122358,4.122358,5.191807,1.000000,4.000000
137,2.715534,0.793201,4.121577,4.121577,1.941803,1.000000,4.000000
138,-0.974019,-1.839891,4.120810,4.120810,1.051714,1.000000,4.000000
139,4.998114,-1.402094,4.120056,4.120056,6.540448,1.000000,4.000000
140,-3.708537,-0.439630,4.119315,4.119315,3.385641,1.000000,4.000000
141,1.511823,-3.629022,4.118587,4.118587,3.752600,1.000000,4.000000
142,-1.683817,-0.496826,4.117871,4.117871,0.748463,1.000000,4.000000
143,0.867801,2.053386,4.117167,4.117167,1.207013,1.000000,4.000000
144,0.432346,1.712912,4.116475,4.116475,0.758171,1.000000,4.000000
145,-0.652985,-0.745454,4.115795,4.115795,0.238615,1.000000,4.000000
146,0.979448,-2.268906,4.115127,4.115127,1.484098,1.000000,4.000000
147,-0.682093,-0.916985,4.114470,4.114470,0.317443,1.000000,4.000000
148,2.214834,0.467154,4.113824,4.113824,1.245489,1.000000,4.000000
149,-1.574734,3.084998,4.113189,4.113189,2.916715,1.000000,4.000000
150,-2.055946,-2.461764,4.112565,4.112565,2.501406,1.000000,4.000000
151,0.734020,-0.142290,4.111951,4.111951,0.135953,1.000000,4.000000
152,0.802583,-0.041566,4.111348,4.111348,0.157094,1.000000,4.000000
153,0.783959,1.052860,4.110755,4.110755,0.419170,1.000000,4.000000
154,0.264108,2.103514,4.110172,4.110172,1.093512,1.000000,4.000000
155,2.446327,-1.483809,4.109599,4.109599,1.991972,1.000000,4.000000
156,-1.551377,2.075139,4.109036,4.109036,1.633710,1.000000,4.000000
157,0.727061,1.601118,4.108482,4.108482,0.752637,1.000000,4.000000
158,1.448221,-0.060469,4.107937,4.107937,0.511449,1.000000,4.000000
159,-2.023821,-2.874356,4.107402,4.107402,3.008661,1.000000,4.000000
160,0.074384,0.774753,4.106875,4.106875,0.147503,1.000000,4.000000
161,-1.180720,3.686024,4.106358,4.106358,3.648214,1.000000,4.000000
162,1.987290,0.530186,4.105849,4.105849,1.030340,1.000000,4.000000
163,3.030651,0.134329,4.105349,4.105349,2.241682,1.000000,4.000000
164,0.289265,2.990522,4.104858,4.104858,2.199077,1.000000,4.000000
165,-1.327181,1.487965,4.104374,4.104374,0.968589,1.000000,4.000000
166,1.545119,-1.026415,4.103899,4.103899,0.838451,1.000000,4.000000
167,4.460659,1.289795,4.103432,4.103432,5.254394,1.000000,4.000000
168,-0.273476,0.232202,4.102973,4.102973,0.031369,1.000000,4.000000
169,2.032542,-0.830373,4.102522,4.102522,1.175069,1.000000,4.000000
170,-0.832474,-1.651962,4.102079,4.102079,0.834210,1.000000,4.000000
171,1.634198,-4.181729,4.101643,4.101643,4.914486,1.000000,4.000000
172,1.790851,-2.121094,4.101214,4.101214,1.879002,1.000000,4.000000
173,-0.529055,0.312567,4.100793,4.100793,0.092079,1.000000,4.000000
174,-1.590706,-0.721106,4.100379,4.100379,0.743917,1.000000,4.000000
175,-0.257088,-0.298995,4.099973,4.099973,0.037925,1.000000,4.000000
176,1.573123,-0.125795,4.099573,4.099573,0.607512,1.000000,4.000000
