k,zx,zy,valid
0,0.275053,2.165615,1
1,1.559811,1.848631,1
2,4.109716,-1.538835,1
3,0.581401,2.639209,1
4,-3.220776,0.621195,1
5,-3.178048,2.712961,1
6,1.503857,0.839918,1
7,-1.570921,0.242314,1
8,-0.533656,2.214969,1
9,-0.448373,0.339964,1
10,0.808258,-1.029187,1
11,-0.152131,2.013986,1
12,1.349470,0.793421,1
13,-0.937282,2.130540,1
14,-2.656342,-1.261373,1
15,-3.474287,1.446369,1
16,1.418914,-0.033151,1
17,-1.509936,-1.588206,1
18,1.905543,0.026380,1
19,-0.060431,0.324814,1
20,-2.771253,-1.190914,1
21,-0.157398,5.129729,1
22,-1.225499,-0.820921,1
23,0.904637,0.229811,1
24,-6.172259,-1.494353,1
25,3.664986,1.640253,1
26,0.089660,0.642414,1
27,2.358798,0.008543,1
28,1.035109,3.823767,1
29,2.907564,0.664569,1
30,-0.825547,1.142388,1
31,0.641304,1.103981,1
32,2.218714,1.290436,1
33,-0.924393,1.145996,1
34,1.041221,-1.503015,1
35,-0.809156,-0.733235,1
36,4.841750,0.008752,1
37,-2.934279,2.429297,1
38,0.464133,-1.636983,1
39,0.067399,0.073326,1
40,-1.392324,-2.512829,1
41,1.916239,1.571387,1
42,1.473853,-0.366099,1
43,-1.049248,-3.325925,1
44,0.357580,3.222004,1
45,0.030108,-1.007516,1
46,1.718446,-0.482397,1
47,0.206411,1.379830,1
48,-4.421006,-0.334387,1
49,0.508057,-0.566013,1
50,2.806812,-1.760770,1
51,2.890502,1.996801,1
52,0.510455,1.936711,1
53,2.824192,-0.219625,1
54,3.763533,2.586236,1
55,-1.629665,2.290136,1
56,2.198015,1.928609,1
57,2.067234,-2.063235,1
58,-1.203515,2.470375,1
59,1.933995,0.781873,1
60,2.888960,0.240390,1
61,0.943493,4.839977,1
62,5.083060,0.987814,1
63,4.053058,0.922362,1
64,1.349646,-2.493272,1
65,4.260857,1.280119,1
66,3.290736,0.547450,1
67,2.063827,1.177304,1
68,-0.708733,0.006683,1
69,3.359659,1.462575,1
70,0.426530,-1.155401,1
71,-1.199547,-0.482572,1
72,4.721978,2.244091,1
73,3.152665,-0.220932,1
74,0.175442,5.205549,1
75,0.919590,1.090297,1
76,0.468033,-1.153611,1
