k,x,y,vx,vy
0,3.333894,-0.902704,0.026667,-0.007221
1,1.663407,0.249583,-0.083445,0.068719
2,0.867425,0.130635,-0.220783,0.047916
3,1.409869,0.547063,-0.042164,0.183619
4,0.692455,0.892956,-0.416438,0.362366
5,0.130377,0.295823,-0.833084,-0.092375
6,-0.010521,0.540657,-0.958152,0.155958
7,-0.066978,0.373366,-1.005629,-0.060979
8,-0.441658,0.336692,-1.551162,-0.115530
9,-0.536048,0.449629,-1.664672,0.090917
10,-0.473531,0.610060,-1.471009,0.411525
11,-0.222451,0.936794,-0.847863,1.119097
12,-0.097882,0.632125,-0.509878,0.338052
13,0.085384,0.469360,-0.022320,-0.089181
14,-0.089969,0.326663,-0.480387,-0.458223
15,0.105320,0.446776,0.070234,-0.110814
16,0.020799,0.314981,-0.164261,-0.464440
17,0.078213,0.534859,0.002552,0.165352
18,0.105954,0.421451,0.078663,-0.155461
19,0.550988,0.353149,1.291194,-0.333714
20,0.516099,0.304193,1.126779,-0.448215
21,0.288706,0.064336,0.458758,-1.065357
22,0.419792,-0.000383,0.779502,-1.179572
23,0.238694,-0.105802,0.271209,-1.391035
24,0.000070,-0.217550,-0.347266,-1.603727
25,0.017549,-0.056001,-0.286641,-1.123135
26,0.057965,0.011828,-0.174557,-0.903834
27,-0.024828,0.151413,-0.362901,-0.529383
28,-0.310528,0.282795,-1.009277,-0.199813
29,-0.038194,0.199068,-0.345752,-0.380668
30,-0.094220,0.303452,-0.454586,-0.132473
31,0.170153,0.573033,0.137444,0.456885
32,0.086357,0.457916,-0.045599,0.194085
33,-0.327772,0.523865,-0.899500,0.322345
34,-0.256612,0.567722,-0.719474,0.397890
35,-0.782167,0.711595,-1.728356,0.666142
36,-0.793265,0.592482,-1.683072,0.410608
37,-0.944126,0.892874,-1.904205,0.961890
38,-0.734721,1.012293,-1.447452,1.146779
39,-1.004512,0.822277,-1.882344,0.762249
40,-0.900453,0.511173,-1.631910,0.185499
41,-0.701316,0.537448,-1.230892,0.224542
42,-0.783876,0.644362,-1.329071,0.398089
43,-0.798976,0.872485,-1.310013,0.763540
44,-0.587899,0.850710,-0.924051,0.703280
45,-0.308664,0.797557,-0.449338,0.596099
46,-0.168506,0.549057,-0.216148,0.188925
47,-0.234095,0.655032,-0.310106,0.345654
48,-0.190816,0.554074,-0.235651,0.183337
49,-0.375692,0.678018,-0.501721,0.360967
50,-0.233508,0.543706,-0.281020,0.155761
51,-0.019869,0.369419,0.031176,-0.096836
52,0.125180,0.593483,0.233184,0.219273
53,0.255386,0.677870,0.405728,0.329225
54,0.352644,0.597276,0.526147,0.211460
55,0.738166,0.538072,1.024179,0.127216
56,0.757618,0.571987,1.022832,0.168187
57,0.762354,0.620222,1.002635,0.225835
58,0.734225,0.652703,0.941730,0.261184
59,0.815088,0.452376,1.018896,0.005468
60,0.855498,0.368597,1.043428,-0.097266
61,0.881164,0.430201,1.049213,-0.020635
62,1.141919,0.355315,1.333965,-0.109080
63,1.231566,0.444677,1.407632,-0.001982
64,1.135821,0.480965,1.264811,0.039894
65,1.102251,0.477207,1.197935,0.034718
66,1.051598,0.408837,1.114379,-0.042626
67,1.285760,0.373904,1.348321,-0.080255
68,1.306464,0.138764,1.341502,-0.334547
69,1.169410,0.363828,1.165486,-0.085635
70,1.314907,0.432914,1.294954,-0.010617
71,1.403623,0.363050,1.360633,-0.083442
72,1.586202,0.510363,1.520957,0.070293
73,1.692897,0.453124,1.598653,0.010556
74,1.691540,0.565832,1.565133,0.123693
75,1.671567,0.604401,1.514211,0.159539
76,1.587938,0.535149,1.402479,0.088484
77,1.577451,0.460074,1.365140,0.014028
78,1.697615,0.565263,1.454035,0.114456
79,1.852701,0.721067,1.573232,0.259674
80,1.917373,0.668311,1.604278,0.205496
81,2.043641,0.814365,1.691317,0.336674
82,2.188296,0.970469,1.792577,0.473149
83,2.194247,0.810050,1.765563,0.319672
84,2.031532,0.848620,1.588637,0.348420
85,2.055897,0.913818,1.582091,0.399879
86,2.205427,0.761501,1.685150,0.259729
87,2.180697,0.785171,1.634609,0.275709
88,2.299737,0.816463,1.708514,0.297772
89,2.289622,0.886658,1.671001,0.352188
90,2.377970,0.957249,1.717055,0.405469
91,2.326029,0.885144,1.645439,0.338889
92,2.422710,0.787508,1.697847,0.253081
93,2.552809,0.649566,1.776085,0.136709
94,2.548419,0.784747,1.743919,0.243451
95,2.658587,0.831234,1.804020,0.276674
96,2.768647,0.981696,1.862520,0.391279
97,2.846127,0.904270,1.894038,0.324488
98,2.849829,0.946152,1.867506,0.351963
99,2.758927,0.962645,1.768840,0.359235
100,2.762274,1.052045,1.744418,0.421923
101,2.753520,1.143410,1.711434,0.484598
102,2.752101,1.225166,1.684725,0.538593
103,2.775985,1.143332,1.677436,0.469798
104,2.707174,1.160389,1.602035,0.475441
105,2.680513,1.114534,1.559153,0.434997
106,2.756712,1.159572,1.591769,0.461326
107,2.806022,1.179453,1.604328,0.468984
108,2.833265,1.109052,1.600874,0.412100
109,2.832825,1.098487,1.577914,0.398796
110,2.990533,1.033099,1.666463,0.347299
111,2.992131,1.146218,1.644359,0.421259
112,3.019519,1.194048,1.640557,0.448501
113,2.982392,1.090021,1.592563,0.370958
114,2.908992,1.133572,1.520863,0.395572
115,2.971259,1.062506,1.542404,0.342157
116,3.037049,1.019299,1.565869,0.308547
117,3.096721,1.132438,1.584777,0.379878
118,3.084893,1.131350,1.555953,0.374126
119,3.107021,1.126916,1.550039,0.366288
120,3.147668,1.073051,1.556342,0.326307
121,3.205347,1.211717,1.573576,0.412077
122,2.977111,1.159286,1.406096,0.372950
123,2.947298,1.215527,1.368973,0.404208
124,2.888133,1.222363,1.313867,0.403413
125,3.010205,1.262494,1.374487,0.423703
126,3.093451,1.343570,1.409554,0.469366
127,3.156784,1.421338,1.431525,0.512117
128,3.084671,1.509866,1.368913,0.560771
129,3.056106,1.549622,1.334346,0.578406
130,3.095275,1.528316,1.342014,0.558209
131,3.111350,1.531402,1.335438,0.553275
132,3.198982,1.527549,1.372451,0.544211
133,3.160866,1.518493,1.332834,0.532162
134,3.307832,1.622075,1.405141,0.588020
135,3.306657,1.584939,1.387638,0.558787
136,3.340784,1.700797,1.391429,0.621049
137,3.354442,1.692596,1.383043,0.608846
138,3.345739,1.693972,1.361632,0.602486
139,3.370878,1.670408,1.360405,0.581619
140,3.358072,1.725238,1.337072,0.606808
141,3.319508,1.820931,1.299172,0.655301
142,3.252540,1.827563,1.245478,0.651561
143,3.366493,1.752425,1.296681,0.600860
144,3.488293,1.753037,1.351560,0.594331
145,3.557141,1.774966,1.375394,0.600055
146,3.622773,1.813635,1.397029,0.615189
147,3.643747,1.797937,1.393093,0.599365
148,3.591752,1.817012,1.348152,0.603354
149,3.522251,1.808723,1.294086,0.591945
150,3.529294,1.788371,1.283569,0.573974
151,3.600965,1.824720,1.309148,0.587804
152,3.611885,1.827628,1.300693,0.582902
153,3.678346,1.777042,1.323015,0.548551
154,3.711984,1.860548,1.326962,0.588435
155,3.705282,1.902285,1.308750,0.604854
156,3.753403,1.955684,1.320731,0.627402
157,3.724716,1.971848,1.290752,0.629370
158,3.797271,1.971616,1.316096,0.622418
159,3.810960,1.979954,1.309268,0.620197
160,3.793724,1.973549,1.285877,0.610064
161,3.758302,1.881522,1.253044,0.554091
162,3.717588,1.934357,1.217829,0.576445
163,3.681749,2.001170,1.185699,0.605953
164,3.817273,2.075234,1.245204,0.638920
165,3.865878,2.125804,1.257782,0.658975
166,3.864703,2.171016,1.243848,0.675927
167,3.944188,2.188047,1.272667,0.677781
168,3.952040,2.198102,1.263403,0.675938
169,3.891601,2.122142,1.218409,0.628964
170,3.954644,2.156627,1.238660,0.640435
171,3.958732,2.155414,1.227856,0.633110
172,3.965716,2.175994,1.218698,0.637236
173,3.990825,2.151222,1.219080,0.617732
174,3.922358,2.177424,1.170920,0.624914
175,3.961705,2.119383,1.179164,0.588407
176,4.032646,2.095145,1.203621,0.569813
177,4.114992,2.073872,1.233652,0.552977
178,4.117659,2.028958,1.222335,0.524190
179,4.152679,1.971062,1.227762,0.489092
180,4.158140,2.051855,1.217980,0.525470
181,4.169206,2.012078,1.211182,0.499757
182,4.186988,1.911435,1.207894,0.443286
183,4.172607,1.946443,1.188258,0.456606
184,4.230915,2.041697,1.205828,0.500411
185,4.283988,2.042418,1.220533,0.495695
186,4.210440,2.121211,1.170868,0.530617
187,4.178563,2.099934,1.142877,0.514474
188,4.170181,2.084072,1.127087,0.501255
189,4.224670,2.160201,1.143211,0.534620
190,4.178741,2.204333,1.108538,0.551474
191,4.227538,2.138413,1.121940,0.512742
192,4.256318,2.115271,1.125128,0.495954
193,4.223803,2.085996,1.097505,0.476277
194,4.220646,2.015235,1.084916,0.436017
195,4.278611,2.056502,1.103081,0.452319
196,4.316941,2.105015,1.111220,0.472064
197,4.308279,2.111987,1.095784,0.470829
198,4.317736,2.119754,1.089564,0.470006
199,4.340307,2.164068,1.089952,0.487419
200,4.343541,2.098462,1.080702,0.449872
201,4.337049,2.054462,1.066711,0.423489
202,4.350598,2.123056,1.062838,0.453394
203,4.302705,2.121416,1.028473,0.448072
204,4.263439,2.144521,0.998761,0.455096
205,4.208061,2.066293,0.961372,0.411764
206,4.166996,2.036498,0.931478,0.392907
207,4.150098,2.064031,0.913875,0.402656
208,4.229637,2.155176,0.944208,0.443799
209,4.215177,2.120565,0.927708,0.422280
210,4.249539,2.107225,0.935526,0.411506
211,4.237203,2.085289,0.920181,0.396596
212,4.350457,2.000370,0.967037,0.350727
213,4.395325,1.984993,0.979641,0.339671
214,4.536366,1.962646,1.039578,0.325290
215,4.504925,2.022105,1.013812,0.351412
216,4.591112,2.044839,1.046312,0.359156
217,4.603439,2.055516,1.042074,0.360878
218,4.653554,2.037779,1.056497,0.348583
219,4.694850,2.007678,1.066430,0.330323
220,4.763324,2.031773,1.089644,0.338934
221,4.779881,2.010062,1.087067,0.324910
222,4.783104,2.019695,1.077954,0.326452
223,4.759265,2.004974,1.055618,0.315997
224,4.636748,1.981221,0.984967,0.301204
225,4.692187,1.913770,1.002544,0.265070
226,4.681065,1.818880,0.987216,0.215805
227,4.638696,1.925055,0.956679,0.265882
228,4.698948,1.963542,0.976891,0.282186
229,4.732701,1.933849,0.983878,0.264818
230,4.745317,1.893479,0.980408,0.242376
231,4.723845,1.909282,0.960221,0.247759
232,4.743282,1.849441,0.960335,0.215921
233,4.835546,1.866528,0.996231,0.222194
234,4.888616,1.923562,1.012517,0.248033
235,4.904185,1.912838,1.010217,0.240327
236,4.910429,1.808093,1.003358,0.186503
237,4.957633,1.865864,1.016690,0.213054
238,4.994695,1.850333,1.024909,0.203330
239,4.997606,1.900335,1.016268,0.225900
240,5.035915,1.931646,1.025105,0.239065
241,5.039458,1.907834,1.016771,0.225014
242,5.020775,1.905176,0.997596,0.221497
243,5.015667,1.848585,0.985280,0.191507
244,5.015414,1.877866,0.975470,0.204016
245,5.032328,1.825505,0.974195,0.176272
246,5.065353,1.797863,0.980851,0.160950
247,5.103816,1.856996,0.990118,0.188441
248,5.096689,1.788857,0.976876,0.153082
