k,x,y,vx,vy
0,-4.228962,-7.998864,-0.033827,-0.063982
1,-5.483532,-2.782898,-0.116453,0.279811
2,-3.558865,-3.362368,0.216726,0.178653
3,-1.245511,-4.214058,0.970915,-0.100699
4,-2.114855,-2.491551,0.506703,0.800042
5,-2.115251,-1.011751,0.498779,1.901417
6,-0.661246,-0.932807,1.952477,1.942607
7,-1.086640,-0.566486,1.361228,2.359484
8,-0.506891,-0.018299,2.211334,3.130313
9,-0.378264,1.945379,2.362523,6.535770
10,0.450153,1.324133,3.941519,5.015808
11,0.673848,0.541001,4.263342,3.053187
12,0.883857,1.453680,4.561245,5.086966
13,0.579555,0.541164,3.564453,2.530880
14,0.458381,0.855334,3.060408,3.221102
15,-0.582741,1.033963,0.098106,3.528012
16,-0.683689,1.135597,-0.182741,3.612816
17,-0.822786,1.160622,-0.554962,3.483015
18,-0.617925,0.552524,0.038649,1.620058
19,-1.015821,0.023498,-1.051411,0.084979
20,0.296688,0.459655,2.559868,1.261510
21,0.112131,-0.342602,1.929732,-0.950241
22,0.936242,0.003828,3.996396,0.011205
23,0.576252,1.094773,2.859538,2.829903
24,0.608439,1.646216,2.796173,4.083955
25,1.248978,1.044123,4.247244,2.386768
26,1.106196,0.873657,3.694144,1.856802
27,1.614493,0.728944,4.725893,1.424905
28,0.759656,1.534113,2.522055,3.227872
29,0.769049,1.211232,2.428945,2.349040
30,1.397310,0.320663,3.713567,0.271357
31,1.651559,0.500597,4.103204,0.649152
32,1.052471,-0.216388,2.662554,-0.894745
33,1.985832,-0.105272,4.481276,-0.628147
34,1.337056,-0.040229,2.990187,-0.471435
35,1.601182,0.406826,3.393455,0.429523
36,2.118487,0.023323,4.260643,-0.327023
37,1.353938,0.461549,2.657316,0.512160
38,1.468131,0.570724,2.769980,0.694742
39,0.938458,-0.048643,1.713507,-0.448748
40,0.656705,-0.062355,1.155004,-0.457120
41,0.877932,-0.519948,1.497804,-1.233030
42,1.154982,0.196729,1.916487,0.023114
43,0.802052,0.156974,1.267026,-0.043644
44,0.647917,0.134244,0.975087,-0.079196
45,0.083323,0.169072,0.043737,-0.021137
46,-0.244023,0.017395,-0.469441,-0.257626
47,0.459366,0.184055,0.623678,0.005866
48,0.705761,0.134886,0.975664,-0.068297
49,1.101734,0.518260,1.531634,0.499901
50,1.413872,0.950733,1.939787,1.112446
51,1.003804,0.986626,1.300666,1.131873
52,1.141227,0.802246,1.456495,0.842316
53,0.410774,0.334135,0.412539,0.175801
54,0.003713,0.091931,-0.148486,-0.156130
55,-0.223199,0.545779,-0.445901,0.450767
56,0.759492,0.120429,0.849196,-0.116538
57,-0.440981,0.012355,-0.714901,-0.252389
58,-0.433203,-0.248881,-0.686996,-0.576229
59,-0.629539,0.033453,-0.914154,-0.210654
60,-0.855076,-0.151491,-1.167967,-0.431986
61,-0.843170,-0.861050,-1.125443,-1.277184
62,-0.604065,-0.737958,-0.814750,-1.100664
63,-0.406883,-0.450829,-0.565001,-0.738996
64,0.017026,-0.110479,-0.063321,-0.329625
65,0.111759,-0.228369,0.045741,-0.456067
66,0.269611,-0.326339,0.221492,-0.555566
67,0.718939,-0.340162,0.712728,-0.558560
68,0.775465,-0.109533,0.758757,-0.295270
69,1.291811,-0.559381,1.297029,-0.772078
70,0.937824,-0.560503,0.894460,-0.756905
71,0.990239,-0.767918,0.930558,-0.957941
72,1.538944,-0.426994,1.477565,-0.586370
73,1.634029,-0.115332,1.544318,-0.256960
74,1.462488,-0.192382,1.340739,-0.329280
75,1.552962,-0.268020,1.403960,-0.397856
76,1.960040,0.102528,1.775699,-0.026599
77,2.031795,-0.240819,1.810814,-0.358757
78,1.788739,-0.050192,1.543470,-0.169404
79,1.659448,-0.014751,1.391965,-0.132674
80,2.225173,0.405757,1.894844,0.262947
81,2.543942,0.388374,2.154413,0.242022
82,2.376651,0.772783,1.962198,0.588820
83,2.323690,1.333905,1.878897,1.085115
84,2.217128,1.186095,1.750116,0.933664
85,1.867147,1.063547,1.409900,0.808866
86,1.848121,0.887300,1.368616,0.640645
87,1.747702,0.743715,1.258083,0.505369
88,1.669693,1.112255,1.169779,0.812151
89,1.681681,0.929065,1.160116,0.643218
90,2.010901,1.184461,1.416696,0.846568
91,1.730705,1.387948,1.160607,1.001414
92,1.135242,1.393809,0.652179,0.989771
93,1.545477,1.249771,0.975401,0.856448
94,1.769818,1.358859,1.140481,0.930560
95,2.218726,0.969350,1.480619,0.604774
96,2.423730,0.758336,1.619313,0.428345
97,2.558286,0.383820,1.699359,0.128218
98,2.546624,0.252779,1.663922,0.024501
99,2.753648,0.395835,1.797585,0.134178
100,2.461162,0.400942,1.547160,0.136025
101,2.373919,0.487817,1.457836,0.199629
102,2.840380,0.536495,1.785490,0.233110
103,2.711455,0.395801,1.663188,0.125129
104,2.618417,0.607920,1.570151,0.279538
105,2.285557,0.422688,1.304049,0.140138
106,2.479900,0.437733,1.425962,0.149008
107,2.345658,0.466483,1.308985,0.167529
108,2.014208,0.451654,1.053998,0.154567
109,2.112917,0.472944,1.108913,0.167441
110,2.067426,0.288297,1.061414,0.035480
111,1.940002,0.389484,0.957864,0.105471
112,1.879948,0.265781,0.903101,0.018490
113,1.934960,0.344617,0.928457,0.072337
114,1.820089,0.337547,0.837554,0.066535
115,2.014070,0.124931,0.957420,-0.078164
116,1.962182,0.206061,0.909716,-0.022633
117,1.973448,0.320470,0.905096,0.053963
118,2.202586,0.370523,1.044857,0.086396
119,1.958288,0.342363,0.870419,0.066737
120,1.660564,0.313752,0.664518,0.047171
121,1.882287,0.278180,0.799808,0.023469
122,1.823389,0.412637,0.751510,0.109875
123,2.029198,0.124839,0.873755,-0.075944
124,2.163480,0.210279,0.948131,-0.020574
125,1.947935,0.098393,0.799733,-0.091115
126,1.803140,0.183731,0.698604,-0.036296
127,1.985519,0.065901,0.803890,-0.109507
128,1.802390,0.351461,0.680083,0.069329
129,1.918672,0.550311,0.743528,0.191340
130,1.957804,0.751449,0.758433,0.312562
131,1.987212,0.814099,0.767132,0.347017
132,1.634325,1.124894,0.543417,0.531622
133,1.621419,1.279595,0.529052,0.618674
134,1.201409,1.298174,0.270259,0.622404
135,1.181528,1.286807,0.255141,0.608166
136,1.541493,1.628127,0.466205,0.803940
137,1.690381,1.918230,0.548793,0.966096
138,1.709586,1.871300,0.553639,0.927086
139,1.693918,1.657559,0.537971,0.790986
140,1.732131,1.645412,0.553979,0.774679
141,2.197771,1.582985,0.817785,0.729457
142,2.139107,1.775457,0.774449,0.832213
143,2.284472,1.511797,0.849131,0.671029
144,2.109814,1.813181,0.739425,0.835878
145,2.470862,1.739631,0.936776,0.784429
146,2.447590,1.680044,0.912936,0.741711
147,2.486169,1.847767,0.924419,0.828108
148,2.700007,2.037081,1.034355,0.925327
149,2.512837,2.251210,0.917855,1.034969
150,2.562755,2.166309,0.935474,0.976018
151,2.621067,2.100612,0.957496,0.928631
152,2.518086,1.880099,0.889842,0.796190
153,2.657982,1.965652,0.957226,0.834617
154,2.811618,1.810128,1.031175,0.739924
155,2.941210,1.946374,1.090877,0.806462
156,2.678433,2.129501,0.935502,0.897634
157,2.937761,2.039108,1.066416,0.838686
158,2.920858,2.140819,1.045685,0.884743
159,2.906089,1.888131,1.026400,0.738612
160,3.117625,1.842725,1.129300,0.706193
161,3.084461,2.087417,1.099361,0.830014
162,3.194206,2.142338,1.146344,0.850530
163,3.243774,1.875551,1.160564,0.699048
164,3.146055,1.644781,1.096205,0.568792
165,3.084465,1.731379,1.051886,0.608711
166,3.157602,1.540749,1.079457,0.501389
167,3.188619,1.459198,1.084432,0.453059
168,2.974820,1.387990,0.960485,0.410810
169,2.756721,1.393572,0.835904,0.409427
170,2.845590,1.611392,0.873686,0.519200
171,2.901783,1.867073,0.893911,0.647332
172,3.056261,2.017075,0.965093,0.718751
173,3.165499,2.056803,1.011849,0.731931
174,3.189214,1.976815,1.013653,0.682849
175,3.387210,1.982056,1.105633,0.678494
176,3.018845,1.963146,0.903979,0.661720
177,2.869789,2.065282,0.817845,0.707535
178,3.278035,1.980283,1.019393,0.656543
179,3.238810,2.200018,0.988795,0.762588
180,3.202764,2.342162,0.960198,0.827594
181,3.254599,2.562078,0.976883,0.931582
182,2.847757,2.481135,0.759254,0.880758
183,3.113196,2.530170,0.886763,0.896767
184,3.451562,2.321298,1.049851,0.781402
185,3.629875,2.356839,1.129737,0.791514
186,3.840345,2.331864,1.224990,0.770826
187,3.866626,2.283299,1.225891,0.738437
188,3.925780,2.229474,1.243399,0.703766
189,4.088609,2.149675,1.313031,0.656385
190,4.021739,2.199417,1.266091,0.674839
191,4.102862,2.281887,1.294179,0.709557
192,4.005805,2.161460,1.232378,0.641885
193,4.017537,2.217327,1.225893,0.663489
194,4.348820,2.488751,1.379721,0.792940
195,4.253211,2.589778,1.318013,0.835598
196,4.568149,2.463617,1.462389,0.764118
197,4.547023,2.473871,1.437214,0.761605
198,4.668361,2.519331,1.483441,0.776696
199,4.730473,2.612841,1.499622,0.815587
200,4.688037,2.570856,1.463533,0.786539
201,4.940141,2.479615,1.574463,0.733286
202,4.859703,2.346009,1.518792,0.659539
203,4.787508,2.150631,1.467819,0.555888
204,5.019326,2.146398,1.568354,0.548265
205,4.958866,2.117809,1.522791,0.528639
206,4.828090,2.030382,1.442848,0.480049
207,4.755232,1.963874,1.392451,0.442338
208,4.580068,2.000677,1.291929,0.456181
209,4.479494,1.986143,1.229375,0.444474
210,4.570389,2.006134,1.262167,0.449964
211,4.558875,2.053680,1.243999,0.469017
212,5.022779,2.023528,1.460878,0.449488
213,5.015753,1.906900,1.442982,0.387463
214,4.999512,1.911763,1.420725,0.386039
215,4.984329,2.011530,1.399218,0.431445
216,4.894223,2.107182,1.340988,0.474356
217,4.932926,2.137037,1.346845,0.484395
218,4.909201,2.232041,1.321884,0.526432
219,4.770305,2.609360,1.240448,0.707096
220,4.658182,2.576444,1.173023,0.683925
221,5.035724,2.446161,1.347321,0.613059
222,5.127685,2.054203,1.379316,0.414133
223,5.293761,2.156499,1.447454,0.460388
224,5.287526,2.033779,1.430147,0.395494
225,5.576743,2.072463,1.558316,0.410628
226,5.600855,2.030771,1.554847,0.386090
227,5.829757,1.841943,1.652094,0.289460
228,5.895940,1.777674,1.668384,0.255023
229,5.782600,1.719556,1.596278,0.223951
230,6.104216,1.878125,1.738645,0.299678
231,5.827552,1.753230,1.585604,0.235359
232,6.068668,1.799147,1.688499,0.255608
233,6.081362,1.942683,1.678143,0.323622
234,6.080474,1.909542,1.661216,0.304159
235,5.807048,1.784978,1.510554,0.239970
236,5.764410,1.771551,1.474763,0.231015
237,5.433748,1.904656,1.297812,0.294141
238,5.402978,1.948790,1.269941,0.312935
239,5.516353,2.161111,1.313167,0.414182
240,5.738456,2.304900,1.409396,0.480764
241,5.859677,2.178945,1.455111,0.414146
242,5.885594,2.099180,1.453546,0.370877
243,5.651440,2.095510,1.324180,0.365428
244,5.797523,1.911311,1.382965,0.271300
245,5.747713,1.997633,1.344884,0.311066
246,5.739086,1.842398,1.327419,0.231692
247,5.571400,1.931535,1.231920,0.273240
248,5.645659,1.867018,1.256320,0.238827
249,5.916975,1.917124,1.377396,0.261120
250,5.980386,1.965978,1.395036,0.282581
251,5.987599,1.901670,1.384859,0.248165
252,5.997536,2.099116,1.376121,0.342870
253,5.935064,2.172873,1.331834,0.375792
254,5.761028,2.128490,1.233066,0.350248
255,5.597175,2.112802,1.140266,0.339077
256,5.702759,1.942926,1.181023,0.252098
257,5.569352,1.934057,1.103694,0.245247
258,5.607046,1.963282,1.111388,0.257226
259,5.814171,2.058963,1.202476,0.301828
260,5.663746,2.031738,1.116506,0.285439
261,5.719117,2.081068,1.132789,0.306937
262,5.939599,2.290372,1.230306,0.407086
263,6.111550,2.368291,1.302954,0.441489
264,6.023517,2.241628,1.246689,0.374671
265,5.904144,2.306840,1.175509,0.403141
266,6.090934,2.418791,1.256065,0.454395
267,6.187246,2.326927,1.291196,0.404579
268,6.264071,2.556355,1.316369,0.513826
269,6.206980,2.389590,1.275187,0.426422
270,6.176967,2.383881,1.247772,0.419392
271,6.409966,2.329900,1.350528,0.388587
272,6.313961,2.446900,1.289755,0.442549
273,6.306405,2.508606,1.273275,0.468666
274,6.432642,2.550181,1.323081,0.484582
275,6.286128,2.640266,1.237569,0.524325
276,6.257173,2.458502,1.211012,0.429262
277,6.094386,2.231485,1.118522,0.312737
278,6.385567,2.185976,1.251501,0.287129
279,6.559121,2.330024,1.324992,0.355564
280,6.261974,2.290377,1.164813,0.332422
281,6.237481,2.159718,1.141156,0.264451
282,6.075744,2.149584,1.049772,0.256814
283,6.051281,2.200932,1.027258,0.279701
284,6.004125,2.330834,0.993722,0.341278
285,5.913593,2.427375,0.939018,0.385730
286,5.784723,2.341133,0.865845,0.339167
287,5.937107,2.287157,0.932796,0.309049
288,6.070064,2.175343,0.989467,0.250548
289,6.176541,2.229486,1.032456,0.274912
290,6.073309,2.377376,0.971009,0.345540
291,5.976058,2.451740,0.913127,0.379004
292,6.109182,2.477014,0.970123,0.387784
293,6.015219,2.525321,0.913858,0.407910
294,5.912120,2.567543,0.853605,0.424820
295,5.899646,2.470324,0.838935,0.372331
296,5.917267,2.474094,0.839353,0.370505
297,5.939198,2.430349,0.841908,0.345095
298,6.137805,2.415056,0.932213,0.334069
