k,yx,yy,Sx,Sy,NIS,q,r
0,6.691241,5.550590,29.004000,29.004000,2.605908,1.000000,4.000000
1,-5.679695,-9.842788,7.453455,7.453455,17.326116,1.000000,4.000000
2,-10.222606,14.175072,5.862227,5.862227,52.102103,1.000000,4.000000
3,2.082665,-14.269631,5.283440,5.283440,39.360694,1.000000,4.000000
4,-1.186427,-4.908739,4.988342,4.988342,5.112587,1.000000,4.000000
5,0.807709,0.266807,4.813035,4.813035,0.150338,1.000000,4.000000
6,-5.308655,-6.651955,4.699955,4.699955,15.410854,1.000000,4.000000
7,0.352419,7.204932,4.623583,4.623583,11.254311,1.000000,4.000000
8,-8.487477,3.233521,4.570779,4.570779,18.047892,1.000000,4.000000
9,-13.056077,-0.107762,4.534005,4.534005,37.598716,1.000000,4.000000
10,2.478689,0.578898,4.508548,4.508548,1.437053,1.000000,4.000000
11,7.341728,-6.658713,4.491253,4.491253,21.873504,1.000000,4.000000
12,-0.448913,-6.082756,4.479879,4.479879,8.304117,1.000000,4.000000
13,8.737050,5.847084,4.472769,4.472769,24.710517,1.000000,4.000000
14,2.430447,5.792379,4.468656,4.468656,8.830111,1.000000,4.000000
15,7.966391,-2.100297,4.466553,4.466553,15.196199,1.000000,4.000000
16,-2.091453,-1.419446,4.465694,4.465694,1.430686,1.000000,4.000000
17,-5.204174,5.503262,4.465482,4.465482,12.847284,1.000000,4.000000
18,-11.970548,-3.574114,4.465466,4.465466,34.950057,1.000000,4.000000
19,0.133237,2.243940,4.465314,4.465314,1.131615,1.000000,4.000000
20,-0.427463,11.273462,4.464793,4.464793,28.506062,1.000000,4.000000
21,2.165767,2.668963,4.463751,4.463751,2.646633,1.000000,4.000000
22,-0.825372,-9.268213,4.462101,4.462101,19.403639,1.000000,4.000000
23,13.464531,0.730598,4.459808,4.459808,40.770223,1.000000,4.000000
24,-1.350597,-0.666010,4.456873,4.456873,0.508805,1.000000,4.000000
25,-1.383743,2.117105,4.453326,4.453326,1.436427,1.000000,4.000000
26,-1.739253,-10.060034,4.449213,4.449213,23.426454,1.000000,4.000000
27,8.360301,9.511242,4.444595,4.444595,36.079409,1.000000,4.000000
28,7.549072,-3.254936,4.439535,4.439535,15.223013,1.000000,4.000000
29,4.204104,-5.463786,4.434099,4.434099,10.718627,1.000000,4.000000
30,-4.552452,-3.115997,4.428351,4.428351,6.872595,1.000000,4.000000
31,5.424667,-3.785317,4.422353,4.422353,9.894199,1.000000,4.000000
32,2.458342,9.999237,4.416161,4.416161,24.009133,1.000000,4.000000
33,13.908496,-3.996247,4.409826,4.409826,47.488545,1.000000,4.000000
34,-0.946490,6.458432,4.403395,4.403395,9.675986,1.000000,4.000000
35,1.581156,-0.802221,4.396907,4.396907,0.714960,1.000000,4.000000
36,4.491091,2.582940,4.390396,4.390396,6.113680,1.000000,4.000000
37,-2.908717,-5.344306,4.383895,4.383895,8.445058,1.000000,4.000000
38,-9.107017,-0.716137,4.377426,4.377426,19.063854,1.000000,4.000000
39,-0.453723,1.794099,4.371013,4.371013,0.783492,1.000000,4.000000
40,7.287763,-4.650794,4.364672,4.364672,17.124167,1.000000,4.000000
41,-5.070121,-11.001465,4.358419,4.358419,33.667795,1.000000,4.000000
42,-4.965529,-2.912099,4.352265,4.352265,7.613692,1.000000,4.000000
43,3.118448,-4.241409,4.346218,4.346218,6.376640,1.000000,4.000000
44,-4.848049,-5.440066,4.340287,4.340287,12.233730,1.000000,4.000000
45,5.436109,3.259519,4.334477,4.334477,9.268878,1.000000,4.000000
46,4.490405,3.212840,4.328792,4.328792,7.042630,1.000000,4.000000
47,6.551493,0.373103,4.323233,4.323233,9.960431,1.000000,4.000000
48,6.201528,-5.051655,4.317803,4.317803,14.817297,1.000000,4.000000
49,0.216395,-0.198695,4.312502,4.312502,0.020013,1.000000,4.000000
50,-3.418828,-13.408352,4.307330,4.307330,44.452661,1.000000,4.000000
51,5.707511,5.030492,4.302286,4.302286,13.453668,1.000000,4.000000
52,10.974128,-2.977066,4.297369,4.297369,30.086876,1.000000,4.000000
53,-3.733931,13.337736,4.292577,4.292577,44.690506,1.000000,4.000000
54,-2.895924,2.847278,4.287908,4.287908,3.846483,1.000000,4.000000
55,-9.583589,-7.366914,4.283359,4.283359,34.112620,1.000000,4.000000
56,-7.794407,-0.549729,4.278929,4.278929,14.268753,1.000000,4.000000
57,2.731944,8.706618,4.274613,4.274613,19.479823,1.000000,4.000000
58,3.759950,-1.478184,4.270410,4.270410,3.822175,1.000000,4.000000
59,-6.603951,13.448581,4.266317,4.266317,52.615993,1.000000,4.000000
