k,zx,zy,valid
0,-2.114599,-3.417180,1
1,5.993216,1.518549,1
2,2.735406,-5.139743,1
3,-6.405710,-7.045160,1
4,-2.852455,3.285378,1
5,13.393840,1.753953,1
6,5.650384,-2.331185,1
7,1.246832,-3.889657,1
8,6.914738,0.392730,1
9,5.644508,2.125708,1
10,-1.258843,0.940177,1
11,-7.034201,5.864530,1
12,5.551439,11.215892,1
13,-6.572515,-2.034927,1
14,-7.603448,-7.515912,1
15,-6.889322,7.140737,1
16,1.392412,-5.294405,1
17,4.162390,10.029681,1
18,-7.329804,-5.360465,1
19,12.490683,-2.082964,1
20,-6.208954,2.759960,1
21,3.092359,1.804988,1
22,4.120550,-4.883194,1
23,-3.522946,-6.594570,1
24,-0.992960,13.546123,1
25,5.640158,3.562501,1
26,-3.079632,-0.683036,1
27,3.145769,2.848823,1
28,9.243696,3.409192,1
29,-8.618968,4.843470,1
30,4.362652,5.621235,1
31,-1.527115,-18.279465,1
32,-6.286341,-6.298859,1
33,3.768401,5.414281,1
34,-3.983661,7.540137,1
35,-2.341353,-14.150300,1
36,0.283952,0.290097,1
37,4.776070,-0.272401,1
38,2.735309,0.872171,1
39,4.135655,-1.578401,1
40,6.888600,9.518441,1
41,-2.127363,-2.110721,1
42,3.656822,1.012718,1
43,-7.250903,-1.840299,1
44,4.854156,8.189171,1
45,1.690984,4.505734,1
46,-7.760346,-3.095789,1
47,9.992134,-12.631159,1
48,13.624889,9.407156,1
49,4.804927,-1.047309,1
50,0.297220,0.574121,1
51,15.646555,0.118599,1
52,-3.274657,-5.461603,1
53,2.819046,-3.528836,1
54,-6.866100,-0.731127,1
55,7.402618,2.683541,1
56,3.850385,4.709541,1
57,-1.177253,-4.387059,1
58,4.281242,8.640869,1
59,-2.798366,2.216864,1
60,0.672018,4.283657,1
61,-10.710148,1.801934,1
62,-2.655280,-7.459077,1
63,-5.021446,6.429471,1
64,2.687132,-4.097960,1
65,-4.725174,1.571794,1
66,13.989708,-0.573351,1
67,9.043166,-7.227866,1
68,7.000297,7.112009,1
69,1.681545,3.553421,1
70,-6.765498,3.234627,1
71,1.099839,-8.283327,1
72,-1.014557,5.091783,1
73,2.330830,7.579333,1
74,-3.850190,-3.282105,1
75,-1.046722,-4.303067,1
76,4.316658,3.242813,1
77,-4.382475,-2.656996,1
78,7.171272,3.483848,1
79,7.104140,2.493010,1
80,1.682378,-8.023260,1
81,-3.360408,2.720372,1
82,-0.346824,-1.629234,1
83,-0.677258,-1.932385,1
84,15.145525,-5.036480,1
85,-3.264959,12.340588,1
86,2.535054,-5.209171,1
87,13.230183,3.431815,1
88,5.970780,15.638953,1
89,4.958955,-3.782021,1
90,-2.665839,5.657337,1
91,1.220236,11.817524,1
92,-4.458577,3.626810,1
93,4.955413,0.218317,1
94,6.456587,-0.036788,1
95,-4.227373,-0.413957,1
