k,zx,zy,valid
0,2.657055,-2.209921,1
1,-2.484972,-0.937383,1
2,-4.663881,0.361763,1
3,4.322159,0.794205,1
4,0.995602,-2.940340,1
5,-0.742651,0.789872,1
6,-1.112695,1.145286,1
7,0.500705,0.084935,1
8,0.826244,1.364607,1
9,4.563634,-1.723500,1
10,0.249181,1.568376,1
11,1.032200,-1.092088,1
12,-1.932396,1.804487,1
13,1.069416,1.988238,1
14,-0.694669,-1.710069,1
15,0.120097,-1.891488,1
16,4.083188,-1.883580,1
17,0.534402,0.266243,1
18,3.987845,2.625475,1
19,-0.035940,-0.283928,1
20,1.766364,-1.263968,1
21,2.936512,1.674075,1
22,0.204460,1.595980,1
23,3.937456,-3.000460,1
24,2.394327,1.325220,1
25,0.581841,-0.893088,1
26,-1.476322,1.455421,1
27,0.854521,-0.911901,1
28,-0.791660,1.396181,1
29,-0.053199,-0.113243,1
30,-2.296891,-1.735522,1
31,2.651828,0.240246,1
32,0.624697,-2.761049,1
33,3.495698,-1.877317,1
34,2.424618,3.408890,1
35,1.266266,5.032341,1
36,0.809220,0.563878,1
37,0.725071,0.791261,1
38,-3.153440,-0.011167,1
39,-0.500629,-1.371422,1
40,0.278925,1.409949,1
41,1.485658,4.515006,1
42,2.488105,0.516754,1
43,-0.654066,0.083319,1
44,2.026760,2.958188,1
45,0.783421,2.601568,1
46,-0.271026,1.776499,1
47,3.006603,2.004887,1
48,2.110339,-1.459981,1
49,-0.003861,-2.195700,1
50,-0.063837,1.675670,1
51,3.038501,-1.010809,1
52,2.596364,1.507271,1
53,2.822973,-0.091377,1
54,1.260340,4.664512,1
55,0.261569,0.362569,1
56,3.377261,-3.134811,1
57,1.713381,0.937333,1
58,-0.288930,2.124037,1
59,1.209232,-1.449232,1
60,1.613342,4.303007,1
61,1.657220,-3.507285,1
62,1.177241,-2.018845,1
63,-0.471430,0.710302,1
64,1.807850,0.617624,1
65,0.713202,0.015115,1
66,-2.818157,2.765335,1
67,3.064760,2.346030,1
68,2.333692,-1.878889,1
69,0.721858,1.971354,1
70,4.922461,0.160482,1
71,-0.411348,0.940527,1
72,6.266317,-1.386003,1
73,6.120045,-1.202623,1
74,-2.288683,1.232585,1
75,2.174278,3.878346,1
76,-0.348721,0.525544,1
77,2.021320,0.463319,1
78,3.898868,0.324225,1
79,0.563146,0.545715,1
80,2.009562,0.804627,1
81,4.058155,-1.344665,1
82,2.090848,-1.184034,1
83,3.523186,0.878597,1
84,1.563581,-1.111587,1
85,3.214942,0.699922,1
86,0.501292,0.374234,1
87,3.168018,3.602362,1
88,4.532410,2.903459,1
89,1.247736,-1.449573,1
90,4.330996,0.751519,1
91,4.144648,2.160622,1
92,2.978181,2.470637,1
93,2.948095,0.880695,1
94,4.298995,-0.882935,1
95,4.218943,-0.407588,1
96,2.780710,0.820568,1
97,2.603098,0.294930,1
98,3.732051,2.732996,1
99,1.214225,3.850385,1
100,-0.401854,-2.634485,1
101,7.378086,-0.503924,1
102,-0.408292,0.847844,1
103,2.811141,2.866726,1
104,0.982940,1.643053,1
105,0.498398,-0.846456,1
106,0.390231,3.813398,1
107,0.519057,5.363033,1
108,4.164510,4.508783,1
109,2.044502,-0.373003,1
110,2.033660,2.946233,1
