k,yx,yy,Sx,Sy,NIS,q,r
0,2.691591,2.941074,29.004000,29.004000,0.548013,1.000000,4.000000
1,-2.750975,-3.243170,7.453455,7.453455,2.426528,1.000000,4.000000
2,-2.567381,0.072962,5.862227,5.862227,1.125301,1.000000,4.000000
3,-0.077978,-0.321158,5.283440,5.283440,0.020673,1.000000,4.000000
4,-0.302921,0.304366,4.988342,4.988342,0.036966,1.000000,4.000000
5,1.123089,0.568168,4.813035,4.813035,0.329136,1.000000,4.000000
6,0.447607,-1.460201,4.699955,4.699955,0.496290,1.000000,4.000000
7,2.689316,0.824501,4.623583,4.623583,1.711275,1.000000,4.000000
8,-0.461238,-3.380880,4.570779,4.570779,2.547288,1.000000,4.000000
9,0.320582,-0.139834,4.534005,4.534005,0.026980,1.000000,4.000000
10,-4.155873,-0.652493,4.508548,4.508548,3.925215,1.000000,4.000000
11,1.490312,-0.210738,4.491253,4.491253,0.504412,1.000000,4.000000
12,-3.542270,1.047825,4.479879,4.479879,3.045978,1.000000,4.000000
13,-0.069834,-0.144247,4.472769,4.472769,0.005742,1.000000,4.000000
14,0.454555,-4.900347,4.468656,4.468656,5.419980,1.000000,4.000000
15,-3.686135,0.335590,4.466553,4.466553,3.067290,1.000000,4.000000
16,-0.722312,1.391276,4.465694,4.465694,0.550280,1.000000,4.000000
17,1.326591,0.640237,4.465482,4.465482,0.485893,1.000000,4.000000
18,0.470324,0.299481,4.465466,4.465466,0.069622,1.000000,4.000000
19,0.713949,0.384393,4.465314,4.465314,0.147242,1.000000,4.000000
20,3.337066,0.253220,4.464793,4.464793,2.508543,1.000000,4.000000
21,0.630562,3.134306,4.463751,4.463751,2.289886,1.000000,4.000000
22,0.751408,2.502842,4.462101,4.462101,1.530407,1.000000,4.000000
23,0.491447,0.378520,4.459808,4.459808,0.086281,1.000000,4.000000
24,0.719307,-2.830849,4.456873,4.456873,1.914146,1.000000,4.000000
25,-1.245294,-2.148645,4.453326,4.453326,1.384905,1.000000,4.000000
26,-0.207163,-0.944247,4.449213,4.449213,0.210041,1.000000,4.000000
27,1.070719,3.608270,4.444595,4.444595,3.187254,1.000000,4.000000
28,-0.520197,1.712265,4.439535,4.439535,0.721350,1.000000,4.000000
29,2.605193,0.642457,4.434099,4.434099,1.623731,1.000000,4.000000
30,-1.733007,-1.656849,4.428351,4.428351,1.298104,1.000000,4.000000
31,-1.269009,-0.268525,4.422353,4.422353,0.380451,1.000000,4.000000
32,3.881388,0.075471,4.416161,4.416161,3.412662,1.000000,4.000000
33,0.044905,-0.515282,4.409826,4.409826,0.060667,1.000000,4.000000
34,-0.856323,-1.592174,4.403395,4.403395,0.742224,1.000000,4.000000
35,0.354827,-0.186771,4.396907,4.396907,0.036568,1.000000,4.000000
36,-0.349013,0.501207,4.390396,4.390396,0.084962,1.000000,4.000000
37,0.274649,-0.669119,4.383895,4.383895,0.119335,1.000000,4.000000
38,3.252777,1.480089,4.377426,4.377426,2.917519,1.000000,4.000000
39,2.336763,-2.732082,4.371013,4.371013,2.956920,1.000000,4.000000
40,-3.248483,1.354341,4.364672,4.364672,2.837986,1.000000,4.000000
41,1.778489,3.605439,4.358419,4.358419,3.708274,1.000000,4.000000
42,1.947829,1.922829,4.352265,4.352265,1.721244,1.000000,4.000000
43,-4.874527,-2.301230,4.346218,4.346218,6.685508,1.000000,4.000000
44,2.249136,-0.185484,4.340287,4.340287,1.173429,1.000000,4.000000
45,0.520686,-1.041247,4.334477,4.334477,0.312681,1.000000,4.000000
46,-1.149973,-2.881051,4.328792,4.328792,2.222997,1.000000,4.000000
47,0.888701,0.939259,4.323233,4.323233,0.386747,1.000000,4.000000
48,3.255879,1.870391,4.317803,4.317803,3.265344,1.000000,4.000000
49,2.952920,-1.522482,4.312502,4.312502,2.559462,1.000000,4.000000
50,0.205361,0.404751,4.307330,4.307330,0.047825,1.000000,4.000000
51,0.012402,-1.516936,4.302286,4.302286,0.534890,1.000000,4.000000
52,-2.971631,3.775936,4.297369,4.297369,5.372656,1.000000,4.000000
53,-1.443974,-0.448962,4.292577,4.292577,0.532693,1.000000,4.000000
54,-0.966515,-0.948556,4.287908,4.287908,0.427693,1.000000,4.000000
55,-0.948985,0.668012,4.283359,4.283359,0.314429,1.000000,4.000000
56,-3.382913,-2.796277,4.278929,4.278929,4.501890,1.000000,4.000000
57,-2.425502,-0.029853,4.274613,4.274613,1.376487,1.000000,4.000000
58,-0.681139,0.911775,4.270410,4.270410,0.303316,1.000000,4.000000
59,6.721823,0.750911,4.266317,4.266317,10.722779,1.000000,4.000000
60,-0.096510,-2.186397,4.262330,4.262330,1.123716,1.000000,4.000000
61,0.368000,0.738931,4.258448,4.258448,0.160021,1.000000,4.000000
62,0.928589,-2.000595,4.254666,4.254666,1.143370,1.000000,4.000000
63,-2.409122,6.147534,4.250982,4.250982,10.255522,1.000000,4.000000
64,-2.015575,-0.043305,4.247393,4.247393,0.956921,1.000000,4.000000
65,-0.066674,1.150157,4.243896,4.243896,0.312757,1.000000,4.000000
66,-3.775064,0.648695,4.240489,4.240489,3.459957,1.000000,4.000000
67,0.392455,1.911962,4.237169,4.237169,0.899096,1.000000,4.000000
68,-0.445251,-2.733372,4.233932,4.233932,1.811454,1.000000,4.000000
69,-0.408371,1.563702,4.230777,4.230777,0.617364,1.000000,4.000000
70,-2.050879,-0.047593,4.227701,4.227701,0.995428,1.000000,4.000000
71,0.423160,1.902211,4.224702,4.224702,0.898874,1.000000,4.000000
72,-0.197309,0.026259,4.221776,4.221776,0.009385,1.000000,4.000000
73,-0.692182,-0.930666,4.218922,4.218922,0.318863,1.000000,4.000000
74,-3.256661,-5.107627,4.216138,4.216138,8.703152,1.000000,4.000000
75,0.384232,-2.254359,4.213421,4.213421,1.241216,1.000000,4.000000
76,3.083480,-3.460269,4.210770,4.210770,5.101517,1.000000,4.000000
77,-0.661104,-3.753473,4.208182,4.208182,3.451756,1.000000,4.000000
78,-2.177409,3.007405,4.205655,4.205655,3.277871,1.000000,4.000000
79,1.986291,1.589288,4.203187,4.203187,1.539591,1.000000,4.000000
80,-1.292437,2.810634,4.200778,4.200778,2.278163,1.000000,4.000000
81,0.931405,-2.523900,4.198424,4.198424,1.723881,1.000000,4.000000
82,-0.585098,-0.549674,4.196124,4.196124,0.153590,1.000000,4.000000
83,1.245222,-1.428238,4.193876,4.193876,0.856115,1.000000,4.000000
84,-2.803447,2.713993,4.191680,4.191680,3.632213,1.000000,4.000000
85,1.849812,-1.728459,4.189533,4.189533,1.529854,1.000000,4.000000
86,3.813405,1.162104,4.187434,4.187434,3.795294,1.000000,4.000000
87,-0.688736,-0.770238,4.185382,4.185382,0.255084,1.000000,4.000000
88,1.894747,2.146621,4.183374,4.183374,1.959673,1.000000,4.000000
89,-1.812076,-0.897436,4.181411,4.181411,0.977902,1.000000,4.000000
90,0.080007,-0.249489,4.179490,4.179490,0.016424,1.000000,4.000000
