k,x,y,vx,vy
0,-0.074152,-2.003893,-0.000593,-0.016029
1,0.660091,0.355920,0.047791,0.139493
2,0.403043,1.248866,0.003182,0.293402
3,-0.094509,1.923834,-0.159353,0.511948
4,0.085371,1.030095,-0.063734,0.039789
5,0.382535,1.537455,0.160814,0.420932
6,0.388976,1.726242,0.164059,0.602508
7,0.236749,1.219745,-0.033907,-0.057617
8,0.059238,0.903444,-0.305980,-0.542501
9,0.127527,0.557292,-0.172688,-1.143140
10,0.146057,0.746717,-0.128253,-0.714037
11,-0.076048,0.834911,-0.615970,-0.486383
12,0.285794,0.959289,0.277580,-0.166121
13,0.283355,1.020086,0.257444,-0.004528
14,0.276342,0.888918,0.225592,-0.347810
15,0.541854,0.450410,0.926980,-1.507523
16,0.938520,0.019705,1.958905,-2.600656
17,1.060090,-0.089703,2.185333,-2.758388
18,0.835630,-0.044624,1.448224,-2.482839
19,0.695361,0.071697,0.985496,-2.029014
20,0.662546,0.125419,0.843257,-1.773640
21,0.559474,0.091036,0.522684,-1.770728
22,0.648963,-0.137757,0.730621,-2.279498
23,0.784240,0.193080,1.042450,-1.306716
24,1.064486,0.703735,1.699821,0.053632
25,1.452269,0.755548,2.577955,0.179573
26,1.734882,0.658174,3.139135,-0.065649
27,1.618873,0.765363,2.714499,0.192048
28,1.616194,0.422688,2.582249,-0.612358
29,1.886137,0.219766,3.077418,-1.044868
30,1.902702,-0.003763,2.977731,-1.493915
31,1.815797,0.318454,2.660658,-0.731656
32,1.837185,0.250152,2.593347,-0.845165
33,1.698233,0.077099,2.199024,-1.167844
34,1.695914,0.012830,2.105530,-1.250461
35,1.684537,0.036844,1.999963,-1.153704
36,1.091941,0.193672,0.779366,-0.806583
37,0.967819,0.225588,0.515764,-0.715927
38,0.908340,0.252035,0.386956,-0.640692
39,0.618422,0.001520,-0.150529,-1.069912
40,0.556097,-0.047000,-0.255354,-1.117844
41,0.249465,-0.353337,-0.777052,-1.609186
42,0.400757,-0.212373,-0.494366,-1.315800
43,0.360221,-0.319064,-0.545240,-1.449215
44,0.345949,-0.259919,-0.550717,-1.305861
45,0.188214,0.025596,-0.784666,-0.808961
46,0.289546,0.006512,-0.601693,-0.813502
47,0.449250,-0.247411,-0.338316,-1.177967
48,0.558097,-0.335167,-0.164350,-1.274567
49,0.727786,-0.459627,0.091107,-1.420727
50,0.711530,-0.541093,0.064895,-1.497645
51,0.757691,-0.495098,0.128775,-1.389506
52,0.639022,-0.371479,-0.040811,-1.177729
53,0.692343,-0.183505,0.033594,-0.887008
54,0.707252,-0.252063,0.052827,-0.955655
55,0.543535,-0.228831,-0.166006,-0.899418
56,0.404134,0.018927,-0.343736,-0.552338
57,0.604370,0.032834,-0.077656,-0.520279
58,0.640610,0.078571,-0.029883,-0.449312
59,0.593125,0.303672,-0.088213,-0.158096
60,0.601499,0.307068,-0.075798,-0.150064
61,0.709414,0.156138,0.056160,-0.328442
62,0.802402,0.249352,0.165258,-0.209940
63,0.787079,0.198542,0.143464,-0.264471
64,0.588660,0.096472,-0.088568,-0.376033
65,0.752262,0.113356,0.099308,-0.348308
66,0.932037,0.075180,0.298410,-0.383259
67,0.906318,0.144971,0.263422,-0.297736
68,1.028766,0.036737,0.391016,-0.409106
69,1.000478,0.046196,0.352235,-0.390159
70,0.889681,0.117701,0.227371,-0.306124
71,0.841514,0.107882,0.172254,-0.309989
72,0.936291,0.126338,0.266500,-0.284546
73,0.897665,-0.064217,0.221726,-0.472853
74,0.898493,-0.015868,0.218098,-0.414717
75,0.936224,0.015735,0.251238,-0.375095
76,1.155335,-0.038924,0.461223,-0.421349
77,1.194474,0.043421,0.490208,-0.333399
78,1.365692,-0.119788,0.644727,-0.483254
79,1.462743,-0.147374,0.724336,-0.500206
80,1.550789,-0.000277,0.793108,-0.353330
81,1.594391,-0.063516,0.818743,-0.405242
82,1.474375,-0.037099,0.694128,-0.373700
83,1.387567,-0.133774,0.603162,-0.454287
84,1.318341,-0.150179,0.530534,-0.460827
85,1.318048,-0.047846,0.520898,-0.362249
86,1.250951,-0.153732,0.453133,-0.448482
87,1.381944,-0.131728,0.558596,-0.421691
88,1.504347,-0.011932,0.653798,-0.311940
89,1.438373,0.036802,0.586839,-0.265374
90,1.412685,0.162177,0.555460,-0.155804
91,1.446497,-0.002389,0.574304,-0.289812
92,1.355978,0.030578,0.490476,-0.257956
93,1.338507,0.026228,0.468275,-0.257297
94,1.378583,-0.059805,0.493026,-0.322486
95,1.380879,-0.165757,0.486987,-0.401915
96,1.440207,-0.315051,0.526200,-0.513616
97,1.587994,-0.277293,0.633739,-0.475986
98,1.589075,-0.256713,0.624739,-0.452620
99,1.607868,-0.258676,0.629584,-0.447166
100,1.649484,-0.225708,0.651715,-0.415210
101,1.636687,-0.147112,0.632192,-0.349531
102,1.748254,-0.112728,0.706311,-0.318531
103,1.829072,-0.112866,0.755854,-0.313901
104,1.862727,-0.176267,0.769510,-0.355979
105,1.763033,-0.186597,0.685438,-0.358325
106,1.855575,-0.111491,0.742557,-0.298715
107,1.996427,-0.126049,0.833114,-0.304883
108,2.033276,-0.171068,0.847507,-0.332634
109,2.043534,-0.169240,0.842773,-0.326635
110,2.051195,-0.024435,0.836319,-0.220405
111,1.959469,-0.142095,0.760772,-0.299295
112,1.882514,-0.077840,0.697050,-0.250734
113,2.002584,-0.118262,0.769880,-0.275032
114,2.134885,-0.141755,0.849518,-0.287289
115,2.065802,-0.215120,0.791304,-0.333022
116,2.187499,-0.110082,0.862400,-0.258012
117,2.239597,-0.062210,0.885640,-0.222647
118,2.377173,0.038290,0.965021,-0.153141
119,2.478539,0.043945,1.019001,-0.147407
120,2.592161,0.101060,1.079924,-0.108163
121,2.535235,0.167589,1.028954,-0.063576
122,2.501639,0.296551,0.994018,0.020409
123,2.553879,0.336147,1.014753,0.045519
124,2.533429,0.460820,0.988809,0.124324
125,2.505133,0.523098,0.958389,0.162161
126,2.604446,0.508731,1.008796,0.151085
127,2.696283,0.549342,1.053598,0.174585
128,2.665035,0.530481,1.021081,0.160693
129,2.770838,0.504454,1.073838,0.142625
130,2.789178,0.553308,1.071910,0.170887
131,2.792212,0.542215,1.060667,0.162022
132,2.828431,0.528894,1.069784,0.151960
133,2.874799,0.686251,1.084873,0.245206
134,2.841769,0.799066,1.051981,0.310062
135,2.855308,0.739959,1.047496,0.271017
136,2.815673,0.706161,1.011462,0.247690
137,2.784217,0.694244,0.980877,0.237707
138,2.765469,0.648476,0.958287,0.207959
139,2.800358,0.680920,0.967500,0.224532
140,2.817176,0.637882,0.966023,0.196818
141,2.847476,0.709988,0.972395,0.236380
142,2.749224,0.773028,0.904405,0.270065
143,2.800465,0.827771,0.923469,0.298438
144,2.839037,0.902448,0.934977,0.337771
145,2.822401,0.849227,0.914837,0.303588
146,2.903827,0.787966,0.950663,0.265376
147,2.893685,0.878780,0.934187,0.313696
148,2.973253,0.876974,0.968450,0.309149
149,2.973934,0.913841,0.957976,0.326347
150,2.909810,0.980041,0.911483,0.359659
151,2.966573,0.973940,0.932911,0.352267
152,3.034781,1.049266,0.960358,0.390090
153,3.089504,1.002983,0.979959,0.360243
154,3.063304,1.073995,0.954776,0.395327
155,3.112855,1.137715,0.971462,0.425906
156,3.067576,1.226730,0.936134,0.469853
157,3.163760,1.223329,0.978279,0.462890
158,3.139479,1.200922,0.954504,0.445720
159,3.161788,1.259918,0.956243,0.472787
160,3.134130,1.233442,0.931041,0.453430
161,3.092026,1.249502,0.898430,0.457184
162,3.148739,1.202657,0.919172,0.427210
163,3.126516,1.291237,0.897498,0.469930
164,3.189954,1.267088,0.921707,0.452076
165,3.204363,1.299558,0.919571,0.464509
166,3.269645,1.287420,0.944385,0.453169
167,3.340734,1.283814,0.971934,0.446483
168,3.374873,1.294267,0.979671,0.447285
169,3.357387,1.354107,0.960205,0.474003
170,3.370428,1.347959,0.956978,0.465820
171,3.413908,1.357242,0.969693,0.465802
172,3.312742,1.406450,0.906869,0.486590
173,3.342830,1.378392,0.913082,0.466944
174,3.395697,1.377704,0.931032,0.461742
175,3.429691,1.393985,0.938988,0.465389
176,3.375956,1.380874,0.901539,0.453812
177,3.427760,1.423553,0.918944,0.471129
178,3.457865,1.397992,0.924975,0.453137
179,3.459986,1.438236,0.916568,0.469141
180,3.528900,1.542562,0.942481,0.517780
181,3.553745,1.525890,0.945547,0.503960
182,3.553425,1.508013,0.935731,0.489691
183,3.587414,1.508136,0.943513,0.484763
184,3.638499,1.476809,0.959900,0.463897
185,3.702065,1.543155,0.982430,0.492877
186,3.682531,1.551181,0.962564,0.491949
187,3.693806,1.549209,0.958527,0.485970
188,3.674913,1.481862,0.939287,0.447016
189,3.662208,1.486573,0.923393,0.444881
190,3.689251,1.456457,0.927715,0.425217
191,3.737587,1.522285,0.942705,0.454071
192,3.823546,1.553462,0.976438,0.465178
193,3.883482,1.578730,0.996725,0.473193
194,3.904525,1.598871,0.997281,0.478547
195,3.886592,1.602594,0.978309,0.475618
196,3.911025,1.629998,0.980744,0.484570
197,3.986662,1.670281,1.008741,0.499858
198,3.959084,1.714769,0.984901,0.517077
199,3.972427,1.723345,0.981732,0.516197
200,3.895723,1.750445,0.933729,0.524556
201,3.891822,1.721401,0.922490,0.504875
202,3.962535,1.729298,0.948485,0.503780
203,3.925600,1.749136,0.920702,0.508631
204,4.008475,1.782164,0.952711,0.519981
205,3.967011,1.772969,0.922683,0.510258
206,3.999835,1.845613,0.929808,0.541217
207,4.020849,1.932373,0.931006,0.578841
208,3.923870,1.925342,0.873767,0.569628
209,3.923970,1.990655,0.865169,0.596310
210,3.955937,2.035885,0.872421,0.612780
211,3.955963,2.033755,0.863810,0.605670
212,3.914487,2.019925,0.834786,0.592854
213,3.901089,2.036691,0.819927,0.595277
214,3.887518,2.127253,0.805137,0.634096
215,3.952865,2.139140,0.829429,0.633703
216,3.977377,2.202694,0.833336,0.658792
217,4.050332,2.182076,0.861080,0.642135
218,4.045255,2.121738,0.850093,0.606077
219,4.072349,2.197252,0.855064,0.637302
220,4.047091,2.266921,0.834206,0.665331
221,4.046306,2.217965,0.825607,0.634681
222,4.017472,2.188364,0.803291,0.613867
223,4.119268,2.200174,0.845471,0.613637
224,4.121514,2.215286,0.838258,0.615034
225,4.117110,2.284122,0.827847,0.642838
226,4.143116,2.293710,0.832493,0.641230
227,4.298668,2.292240,0.900781,0.634203
228,4.367909,2.347379,0.925962,0.655072
229,4.337759,2.335597,0.902041,0.642842
230,4.325154,2.272297,0.886980,0.605415
231,4.320892,2.284785,0.876169,0.605601
232,4.289526,2.248801,0.852146,0.581968
233,4.282753,2.160071,0.840444,0.532652
234,4.254032,2.149416,0.818074,0.522183
235,4.187426,2.129303,0.777311,0.507170
236,4.258797,2.200531,0.804738,0.537182
237,4.278057,2.342065,0.806293,0.601441
238,4.236077,2.402059,0.777744,0.625007
239,4.210298,2.410636,0.757435,0.623080
240,4.242006,2.357723,0.765572,0.590957
241,4.276287,2.368323,0.774893,0.590358
242,4.408772,2.407374,0.832384,0.603746
243,4.479476,2.457752,0.858950,0.622571
244,4.564323,2.380771,0.892210,0.578614
245,4.522128,2.466868,0.862697,0.615247
246,4.597435,2.527826,0.891237,0.639166
247,4.639133,2.487162,0.902975,0.612887
248,4.699830,2.473399,0.923941,0.600092
249,4.795429,2.504411,0.961868,0.609441
250,4.828199,2.576878,0.968525,0.639090
251,4.852971,2.574334,0.971182,0.631551
252,4.967313,2.529794,1.017883,0.603421
253,4.965431,2.571826,1.006939,0.618166
254,4.898523,2.615131,0.964096,0.633396
255,4.964542,2.622555,0.987103,0.630814
256,5.022326,2.642107,1.005834,0.634229
257,5.055650,2.679199,1.012338,0.646249
258,5.117367,2.662118,1.032764,0.631469
259,5.134758,2.741316,1.031156,0.664264
260,5.163110,2.776544,1.034964,0.675076
261,5.209603,2.854356,1.047676,0.706771
262,5.270870,2.818755,1.067548,0.682253
263,5.254483,2.811647,1.048942,0.672021
264,5.373802,2.799706,1.097439,0.659504
265,5.415064,2.791494,1.106965,0.648947
266,5.454137,2.805599,1.115319,0.649503
267,5.565292,2.713819,1.159164,0.597802
268,5.573519,2.704384,1.151781,0.587244
269,5.616513,2.799808,1.161635,0.628556
270,5.644071,2.827193,1.163771,0.635871
271,5.672596,2.829319,1.166364,0.630639
272,5.707566,2.851486,1.172115,0.635359
273,5.635740,2.827984,1.125040,0.617467
274,5.650891,2.777304,1.121407,0.586315
275,5.635273,2.819605,1.102598,0.601430
276,5.648551,2.818306,1.098260,0.594840
277,5.664980,2.801534,1.095522,0.580660
278,5.715264,2.852906,1.109558,0.600329
279,5.748731,2.839425,1.115137,0.587718
280,5.771089,2.880103,1.115165,0.602033
281,5.772818,2.934776,1.104980,0.623137
282,5.802049,2.950154,1.108511,0.624581
283,5.819563,3.009895,1.106205,0.647981
284,5.801676,2.992334,1.086385,0.632862
285,5.868344,3.028613,1.108652,0.644566
286,5.886336,3.008311,1.106580,0.628116
287,5.953866,2.981538,1.129083,0.608618
288,5.972494,2.927530,1.127123,0.575806
289,6.010897,2.915317,1.134988,0.564039
290,6.038794,2.919431,1.137566,0.560484
291,6.099021,2.977640,1.156158,0.583801
292,6.020032,2.973144,1.105489,0.575776
293,6.011940,2.959064,1.090499,0.563073
294,6.039565,2.941499,1.093386,0.548763
295,6.079511,3.012081,1.102362,0.578358
296,6.138666,3.021180,1.120790,0.577133
297,6.118749,3.035853,1.099763,0.578687
298,6.120434,3.039543,1.089673,0.574771
299,6.127443,3.032579,1.082326,0.565598
300,6.072876,3.071120,1.044448,0.579131
301,6.166477,3.054064,1.080593,0.564895
302,6.142216,3.054445,1.057785,0.559467
303,6.173246,3.038323,1.062696,0.545886
304,6.170130,3.028343,1.050575,0.535493
305,6.227761,3.079770,1.068791,0.555747
